,text,MIN(start),MAX(start),SUM(duration),video_id
0,"- So today's agenda, we're gonna start with why am I talking China and Vietnam. We're then gonna talk about reform in China in the period leading up to the 4th of June, 1989 which is the Tiananmen Square massacre. We'll then talk about Tiananmen in the 1990s that will lead us into a discussion of what I'm calling the sequencing debate of political and economic reform. Once it was clear that communism was gonna be replaced by capitalism,",8.11,41.73,33.638999999999996,4eUS8trd_yI
1,"there was a huge debate about, well, is it better to have political reform first or economic reform first. We'll try to do them together and we'll talk about that sequencing debate which will lead us into a larger discussion of what since the 1950s has been known as modernization theory. The thesis that economic modernization will eventually produce demand for",45.73,69.72,26.450000000000003,4eUS8trd_yI
2,"and the establishment of democracy and that will then leave us to think about the future. So, China and Vietnam Today. - [Narrator] China so far has built the equivalent of Europe's entire housing stock in just 15 years. In November 2015, Beijing replaced the substantially larger 1300 ton Sanyuan Bridge in just 43 hours. Between 1996 and 2016, China has built 2.6 million miles of roads including 70,000 miles of highways",72.18,109.55,36.986000000000004,4eUS8trd_yI
3,"connecting 95% of the country's villages and overtaking the US as the country with the most extensive highway system by almost 50%. Over the past decade, China has constructed the world's longest high speed rail network. 12,000 miles of rail lines that carry passengers between cities, at speeds up to 180 miles per hour. China now has more high speed rail tracks",112.28,135.52,25.740000000000002,4eUS8trd_yI
4,"than the rest of the world combined. - So that's one of any number of video clips one could pick to just give a snapshot of the incredible transformation of the Chinese economy over the last couple of decades and indeed, over the last decade, I went to Beijing last year for the first time in about 12 years and 12 years ago, there were lots of potholes in the streets,",138.02,168.28799999999998,33.272999999999996,4eUS8trd_yI
5,"there was still rickshaws on the highways. You go to Beijing today, it's just miles and miles of skyscrapers and every conceivable multinational is there. It looks like just West Los Angeles times a hundred. So you can't overstate and I will put some statistics up in a little while, but the economic explosion in China since the 1970s has been phenomenal. And then here's another snapshot versus Vietnam.",173.81,217.75,39.293,4eUS8trd_yI
6,"- If you're talking about the 80s what Vietnam look like. You go to cities, you didn't see the light, electricity cut, no car in the street. Vietnam was so isolated from the world. - [Narrator] With the Doi Moi economic reforms of 1986, the government hoped to move toward what is now called a socialist-oriented market economy. When the Vietnamese government asked for hands-on advice,",223.22,251.09,25.945999999999998,4eUS8trd_yI
7,"the IMF did not refuse the call. (speaking in foreign language) - If you use the analogy of Vietnam's economy as a eagle flying up, there are two wings. One is internal institutional reform, and the other is opening to trade. - [Narrator] Free to start their own companies, the Vietnamese people created more than 30,000 private businesses",254.11,287.82,25.238999999999997,4eUS8trd_yI
8,"in the first 10 years, spurring growth that averaged 7% throughout the 1990s. - If you look back in the late 80s and early 90s we had the first FDI law ever which opened up the opportunity for newly established private firms to engage international trade. - And that was complemented with a major push to attract foreign direct investment into Vietnam. - [Narrator] The economy has grown at about 7% per year",290.46,322.01,30.723000000000006,4eUS8trd_yI
9,"since 1990, second globally only to China. - So these are the two most successful examples of post communist systems that have remained authoritarian but have been transforming their economies into capitalist arrangements. And that differentiates them from the other post-communist systems that have retained authoritarian rule if we think about North Korea,",324.74,358.03,34.133,4eUS8trd_yI
10,"or we think about Cuba, they have not transformed their economies. So this is one thing that differentiates them from the other post-communist authoritarian systems, post-communist economies retaining communist authoritarian political systems. And they account for a large part of the economic success in the world in the last decade just to take one or two decades. Just to take one example,",360.24,395.86,35.66300000000001,4eUS8trd_yI
11,"one of the encouraging stories of our time is if you if you take the long view of things, number of people and even the percentage of the population both living in extreme poverty has really gone down over the past two centuries and much of that decline has come in the last few decades. Of course, this is a worldwide indicator. But if you look at what is accounting for most of this decline, you can see that the main action has been in East Asia.",401.23400000000004,437.98,34.732000000000006,4eUS8trd_yI
12,"So the this is the blue line up here where poverty again, this is number of people living on a less than $1.25 a day, which is a World Bank's definition of extreme poverty. So, most of the changes of course, have come in the developing world. But if you compare East Asia, for example, to Africa, East Asia is by far the lion's share of the reduction in extreme poverty. Now of course, not all of that is the is China and Vietnam.",442.84,476.0,35.813,4eUS8trd_yI
13,"There're countries like South Korea that have massively improved. There are other countries in that part of the world not to mention Singapore, where poverty rates have decreased massively. Nonetheless, China and Vietnam are relatively impressive stories on this front as well. This is a picture of reductions in poverty in Vietnam and if I'd had gone back before 2010, the numbers would have been higher up there as well.",479.64,513.34,36.85,4eUS8trd_yI
